tahun,nomor
1950,1
1950,14
1950,15
1950,2
1950,3
1950,4
1950,5
1950,6
1953,10
1953,18
1953,25
1953,27
1953,29
1953,30
1953,33
1953,9
1954,12
1954,13
1954,18
1954,21
1954,30
1954,45
1954,46
1954,76
1957,22
1957,23
1957,26
1957,27
1957,29
1957,30
1957,31
1957,33
1957,34
1957,35
1957,36
1957,37
1957,38
1957,39
1957,40
1957,41
1957,42
1957,43
1957,44
1957,45
1957,46
1957,47
1957,48
1957,49
1957,50
1957,51
1957,52
1957,53
1957,55
1957,56
1957,57
1957,58
1957,59
1962,12
1962,7
1962,8
1964,35
1965,16
1971,10
1971,11
1971,12
1971,9
1972,2
1972,3
1972,5
1972,6
1973,4
1973,5
1973,6
1973,7
1974,11
1974,2
1974,3
1974,4
1974,5
1974,9
1975,2
1975,3
1976,1
1976,10
1976,2
1976,7
1976,8
1976,9
1977,1
1977,2
1978,2
1978,3
1978,5
1978,6
1978,7
1978,8
1979,1
1979,2
1979,3
1979,4
1979,5
1980,1
1980,10
1980,11
1980,2
1980,4
1980,5
1980,6
1980,7
1980,8
1980,9
1981,1
1981,2
1981,3
1981,4
1981,5
1981,6
1981,7
1981,8
1982,10
1982,11
1982,12
1982,13
1982,14
1982,15
1982,16
1982,17
1982,18
1982,19
1982,2
1982,4
1982,5
1982,6
1982,7
1982,8
1982,9
1983,3
1983,4
1983,5
1983,6
1983,7
1984,1
1984,2
1984,3
1984,4
1984,5
1984,6
1984,7
1984,8
1985,10
1985,11
1985,13
1985,14
1985,15
1985,16
1985,17
1985,2
1985,4
1985,5
1985,6
1985,7
1985,8
1985,9
1986,1
1986,2
1986,3
1986,4
1986,5
1987,1
1987,3
1987,4
1987,5
1987,6
1987,8
1989,1
1989,2
1989,3
1989,4
1989,5
1989,7
1990,1
1990,10
1990,2
1990,4
1990,5
1990,6
1990,7
1990,8
1991,1
1991,2
1991,3
1991,4
1991,5
1991,6
1992,1
1992,10
1992,11
1992,12
1992,13
1992,14
1992,15
1992,16
1992,17
1992,18
1992,20
1992,21
1992,24
1992,25
1992,4
1992,5
1992,6
1992,7
1992,8
1992,9
1993,3
1993,4
1993,5
1993,6
1994,1
1994,2
1994,3
1994,4
1994,5
1994,6
1995,1
1995,10
1995,12
1995,13
1995,2
1995,3
1995,4
1995,6
1995,7
1995,9
1996,1
1996,2
1996,3
1996,4
1996,5
1996,7
1996,9
1997,1
1997,10
1997,12
1997,13
1997,15
1997,16
1997,17
1997,18
1997,19
1997,2
1997,20
1997,21
1997,22
1997,23
1997,24
1997,25
1997,26
1997,27
1997,28
1997,29
1997,30
1997,31
1997,32
1997,4
1997,5
1997,6
1997,7
1997,8
1997,9
1998,2
1998,3
1998,4
1998,5
1998,6
1998,8
1998,9
1999,1
1999,10
1999,11
1999,12
1999,13
1999,14
1999,15
1999,16
1999,19
1999,2
1999,21
1999,39
1999,4
1999,40
1999,42
1999,43
1999,44
1999,45
1999,46
1999,47
1999,48
1999,49
1999,50
1999,52
1999,53
1999,54
1999,55
1999,8
1999,9
2000,2
2000,23
2000,24
2000,32
2000,35
2000,36
2000,37
2000,38
2001,1
2001,2
2001,3
2001,4
2001,5
2001,6
2001,7
2001,8
2001,9
2002,10
2002,11
2002,12
2002,13
2002,14
2002,15
2002,16
2002,18
2002,19
2002,2
2002,20
2002,22
2002,23
2002,24
2002,25
2002,26
2002,27
2002,28
2002,29
2002,3
2002,30
2002,31
2002,32
2002,4
2002,5
2002,6
2002,7
2002,8
2002,9
2003,12
2003,13
2003,14
2003,15
2003,16
2003,19
2003,20
2003,21
2003,22
2003,23
2003,24
2003,27
2003,28
2003,29
2003,30
2003,31
2003,32
2003,33
2003,34
2003,35
2003,36
2003,37
2003,38
2003,39
2003,40
2003,41
2004,1
2004,10
2004,11
2004,12
2004,13
2004,14
2004,15
2004,16
2004,17
2004,18
2004,19
2004,2
2004,20
2004,21
2004,22
2004,23
2004,24
2004,25
2004,26
2004,27
2004,29
2004,31
2004,32
2004,33
2004,34
2004,36
2004,37
2004,38
2004,39
2004,4
2004,40
2004,41
2004,5
2004,6
2004,7
2005,10
2005,11
2005,12
2005,2
2005,3
2005,4
2005,5
2005,6
2005,7
2005,8
2006,1
2006,10
2006,11
2006,12
2006,13
2006,15
2006,19
2006,2
2006,20
2006,21
2006,22
2006,23
2006,4
2006,5
2006,6
2006,7
2006,8
2006,9
2007,1
2007,10
2007,11
2007,12
2007,13
2007,14
2007,15
2007,16
2007,17
2007,18
2007,19
2007,2
2007,20
2007,21
2007,22
2007,24
2007,25
2007,26
2007,27
2007,28
2007,29
2007,3
2007,30
2007,31
2007,32
2007,33
2007,34
2007,35
2007,36
2007,37
2007,38
2007,39
2007,4
2007,40
2007,41
2007,42
2007,44
2007,45
2007,46
2007,47
2007,48
2007,5
2007,6
2007,7
2007,8
2007,9
2008,1
2008,11
2008,13
2008,15
2008,17
2008,18
2008,19
2008,2
2008,20
2008,21
2008,22
2008,23
2008,24
2008,25
2008,26
2008,27
2008,28
2008,29
2008,3
2008,30
2008,31
2008,32
2008,33
2008,35
2008,37
2008,4
2008,40
2008,42
2008,43
2008,44
2008,45
2008,46
2008,47
2008,48
2008,49
2008,5
2008,50
2008,51
2008,52
2008,53
2008,54
2008,55
2008,56
2008,6
2008,7
2008,8
2008,9
2009,1
2009,10
2009,11
2009,12
2009,13
2009,14
2009,15
2009,16
2009,17
2009,18
2009,19
2009,2
2009,20
2009,21
2009,22
2009,23
2009,24
2009,25
2009,26
2009,27
2009,28
2009,29
2009,30
2009,31
2009,32
2009,33
2009,35
2009,36
2009,37
2009,38
2009,39
2009,4
2009,40
2009,41
2009,42
2009,44
2009,45
2009,46
2009,47
2009,48
2009,49
2009,5
2009,50
2009,51
2009,52
2009,6
2009,7
2009,8
2009,9
2010,1
2010,10
2010,11
2010,12
2010,13
2010,2
2010,3
2010,4
2010,6
2010,8
2010,9
2011,1
2011,11
2011,12
2011,13
2011,14
2011,15
2011,16
2011,17
2011,19
2011,2
2011,20
2011,21
2011,22
2011,23
2011,24
2011,3
2011,4
2011,5
2011,6
2011,7
2011,8
2011,9
2012,1
2012,10
2012,11
2012,12
2012,14
2012,15
2012,16
2012,17
2012,18
2012,19
2012,2
2012,20
2012,21
2012,22
2012,23
2012,24
2012,3
2012,5
2012,6
2012,7
2012,8
2012,9
2013,1
2013,10
2013,11
2013,12
2013,13
2013,14
2013,16
2013,17
2013,18
2013,19
2013,2
2013,20
2013,22
2013,23
2013,24
2013,3
2013,4
2013,6
2013,7
2013,8
2013,9
2014,1
2014,10
2014,11
2014,12
2014,13
2014,14
2014,15
2014,16
2014,17
2014,18
2014,2
2014,20
2014,22
2014,24
2014,25
2014,29
2014,3
2014,31
2014,32
2014,33
2014,34
2014,35
2014,37
2014,38
2014,39
2014,4
2014,40
2014,5
2014,6
2014,7
2014,8
2014,9
2015,1
2015,10
2015,11
2015,12
2015,13
2015,14
2015,2
2015,4
2015,5
2015,6
2015,7
2016,1
2016,11
2016,13
2016,14
2016,15
2016,16
2016,17
2016,18
2016,19
2016,2
2016,20
2016,3
2016,4
2016,5
2016,6
2016,7
2016,8
2016,9
2017,1
2017,10
2017,11
2017,12
2017,13
2017,14
2017,15
2017,16
2017,17
2017,18
2017,2
2017,3
2017,4
2017,5
2017,6
2017,7
2017,9
2018,1
2018,10
2018,11
2018,12
2018,13
2018,3
2018,4
2018,5
2018,6
2018,7
2018,8
2018,9
2019,1
2019,10
2019,11
2019,12
2019,15
2019,17
2019,18
2019,2
2019,20
2019,21
2019,22
2019,23
2019,24
2019,3
2019,4
2019,5
2019,6
2019,7
2019,8
2019,9
2020,1
2020,10
2020,11
2020,12
2020,13
2020,2
2020,4
2020,5
2020,6
2020,8
2020,9
